,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
4688,393672,Nampally,Hyderabad,Sunrise Tiffins Bakery And Fastfood,200,2.9,80,"['Continental', 'Ice Cream', 'Bakery', 'Beverages']",Nampally,40
4689,393674,Baner,Pune,Thikana,1500,2.9,80,"['North Indian', 'Chinese', 'Italian', 'Combo']",Baner,67
4690,393705,Matunga Wadala,Mumbai,Souffle Cake Shop Sion,200,2.9,80,['Bakery'],Matunga Wadala,48
4691,393706,Santoshnagar & Saidabad,Hyderabad,Pista House Restaurant,500,4.1,500,"['Tandoor', 'Indian', 'Chinese', 'Biryani', 'Beverages']",Santoshnagar & Saidabad,48
4692,393761,Rohini,Delhi,Shiv Shankar Dhaba,170,4.0,100,"['Chinese', 'Thalis', 'Snacks']",Rohini,36
4693,393835,Koramangala,Bangalore,The Momo Co.,250,3.8,50,"['Chinese', 'Pan-Asian', 'Tibetan']",Koramangala,55
4694,393864,Baner,Pune,China Wale,200,2.9,80,['Chinese'],Baner,75
4695,393867,Baner,Pune,Meal Box,200,2.9,80,"['Combo', 'Thalis', 'Indian']",Baner,74
4696,393882,Baner,Pune,Mothers Canteen,200,2.9,80,['Combo'],Baner,72
4697,393891,T Nagar,Chennai,Magil Annam,250,4.4,20,"['South Indian', 'Biryani', 'Seafood', 'Fast Food']",T Nagar,66
4698,393897,Majestic,Bangalore,Punjabi Dhaba,350,2.9,80,['Punjabi'],Majestic,45
4699,394067,Old Wasermenpet,Chennai,Tn 03 Cafe,300,2.9,80,"['Pizzas', 'Continental', 'Desserts', 'Snacks', 'Beverages']",Thiruvottiyur High Rd,63
4700,394201,Battarahalli,Bangalore,Voosh Dakshin,129,2.9,80,"['South Indian', 'Beverages', 'Snacks', 'Combo']",Shantinagar,57
4701,394231,Alwarpet,Chennai,Mearth Cafe,500,4.6,20,['Healthy Food'],Alwarpet,78
4702,394249,Piplod,Surat,Spice Petals,800,2.9,80,"['North Indian', 'Chinese', 'Continental', 'Desserts', 'Beverages', 'Mughlai']",Piplod,58
4703,394267,Kothapet & Dilsukhnagar,Hyderabad,Hasrat Catering India,300,2.9,80,['Indian'],Kothapet & Dilsukhnagar,46
4704,394310,Swargate,Pune,Garva Biryani,300,3.6,20,['Biryani'],Swargate,34
4705,394330,Powai,Mumbai,Ma Laxmi Food Corner,200,2.9,80,['Chinese'],Powai,60
4706,394334,Perambur,Chennai,Neythal Restaurant,300,4.2,20,"['Biryani', 'Chinese', 'Indian']",Perambur,69
4707,394335,Alipore,Kolkata,'@ Thala-E-Wah,200,2.9,80,"['Indian', 'Chinese']",Alipore,69
4708,394591,Salt Lake,Kolkata,The Asian Flare,500,4.4,100,"['Chinese', 'Asian', 'Pan-Asian', 'Oriental', 'Thai', 'Tibetan', 'Burmese', 'Seafood', 'Desserts', 'Beverages']",Salt Lake,81
4709,394603,Andheri East,Mumbai,Mad Momos,250,3.8,500,['Chinese  Tibetan  Nepalese  Pizzas  Snacks  Beverages  Combo'],Andheri East,60
4710,394642,Viman Nagar,Pune,Krushnakala Khanawal,200,2.9,80,['Indian'],Viman Nagar,71
4711,394651,Somajiguda & Khairtabad,Hyderabad,Biryanis And More,350,3.9,100,"['Biryani', 'Chinese', 'Tandoor']",Somajiguda & Khairtabad,49
4712,394705,Law College Road,Pune,Cheesiano Pizza(Law College),300,3.9,50,"['North Indian', 'Pizzas', 'Pastas']",Kothrud,48
4713,394739,Chembur,Mumbai,New Annapurna Lunch Home,100,2.9,80,"['Chinese', 'Indian']",Chembur,48
4714,394749,Koramangala,Bangalore,Salad Matters,550,4.5,100,"['Salads', 'Healthy Food', 'Desserts', 'Beverages']",Koramangala,65
4715,394769,Powai,Mumbai,149@Biryani,200,2.9,80,['Biryani  North Indian'],Powai,59
4716,394784,Shivaji Nagar,Pune,Theobroma,500,4.6,100,"['Desserts', 'Bakery', 'Beverages']",Shivaji Nagar,32
4717,394786,Central Bangalore,Bangalore,Pure And Natural,450,2.9,80,"['Juices', 'Continental']",Vasanthnagar,47
4718,394904,Scruz Bandra East,Mumbai,Origami Japanese & Korean Restaurant,2500,4.4,20,"['Japanese', 'Korean', 'Barbecue']",Bandra Kurla Complex,48
4719,395067,Annanagar,Chennai,The Sandwich Club,150,2.9,80,"['Fast Food', 'Chaat', 'Juices', 'Beverages']",Annanagar,73
4720,395169,Shivaji Nagar,Pune,Mcdonald'S Gourmet Burger Collection,600,3.9,50,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Jm Road,36
4721,395202,Central Bangalore,Bangalore,Mcdonald'S Gourmet Burger Collection,600,4.1,20,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Kasturba Road,32
4722,395261,Navrangpura,Ahmedabad,Mcdonald'S Gourmet Burger Collection,500,4.4,50,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Cg Road,30
4723,395319,Egmore,Chennai,Mcdonald'S Gourmet Burger Collection,600,4.3,100,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Spencer,40
4724,395334,Scruz Bandra East,Mumbai,Mcdonald'S Gourmet Burger Collection,600,4.3,100,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Kalina Artista,36
4725,395356,Athwa,Surat,Mcdonald'S Gourmet Burger Collection,500,4.2,50,"['American', 'Continental', 'Fast Food', 'Desserts', 'Beverages']",Reliance Mall,34
4726,395605,Indiranagar,Bangalore,Tandoor And Tadka,250,3.8,50,"['North Indian', 'Tandoor', 'Chinese']",Indiranagar,59
4727,395765,Kothapet & Dilsukhnagar,Hyderabad,Potful - Claypot Biryanis,500,4.0,500,"['Biryani', 'Kebabs', 'Mughlai', 'North Indian']",Kothapet & Dilsukhnagar,77
4728,395773,Kothapet & Dilsukhnagar,Hyderabad,Wah! Kulcha,200,3.7,20,['Fast Food'],Kothapet & Dilsukhnagar,77
4729,395939,Paldi & Ambawadi,Ahmedabad,Kfc,400,4.2,500,"['American', 'Fast Food', 'Snacks']",Panchwati Cross,37
4730,396060,Marol Sakinaka,Mumbai,Global Chaska,300,3.4,20,"['North Indian', 'Lucknowi', 'Biryani', 'Chinese']",Marol Sakinaka,77
4731,396069,Central Kolkata,Kolkata,New Nijam Biryani & Fast Food,300,2.9,80,"['Indian', 'Biryani']",Central Kolkata,60
